iter	Passed	Remaining
0	153	45961
1	173	25921
2	189	18729
3	201	14884
4	212	12561
5	222	10907
6	229	9622
7	236	8614
8	242	7830
9	248	7215
10	255	6705
11	261	6283
12	268	5924
13	274	5614
14	281	5343
15	287	5105
16	294	4896
17	300	4708
18	307	4547
19	314	4408
20	321	4269
21	327	4143
22	334	4023
23	340	3917
24	347	3820
25	353	3729
26	360	3645
27	367	3569
28	373	3494
29	380	3423
30	386	3355
31	392	3289
32	398	3226
33	404	3166
34	411	3115
35	417	3064
36	423	3012
37	429	2962
38	435	2915
39	441	2870
40	448	2831
41	454	2792
42	460	2754
43	467	2717
44	473	2681
45	479	2647
46	485	2614
47	491	2581
48	497	2550
49	504	2522
50	511	2497
51	518	2471
52	525	2447
53	531	2422
54	538	2398
55	544	2372
56	551	2351
57	558	2332
58	566	2313
59	572	2291
60	579	2272
61	586	2252
62	593	2231
63	600	2213
64	606	2193
65	612	2173
66	619	2153
67	625	2133
68	631	2115
69	638	2096
70	644	2077
71	650	2060
72	656	2041
73	662	2023
74	668	2006
75	674	1987
76	680	1971
77	687	1956
78	694	1942
79	701	1928
80	707	1913
81	714	1898
82	720	1883
83	726	1868
84	732	1853
85	739	1839
86	745	1824
87	751	1809
88	757	1795
89	763	1781
90	769	1768
91	776	1755
92	783	1743
93	789	1730
94	796	1718
95	802	1705
96	809	1694
97	816	1682
98	822	1670
99	829	1658
100	835	1646
101	841	1633
102	847	1621
103	853	1608
104	859	1596
105	865	1584
106	871	1572
107	878	1561
108	884	1549
109	890	1537
110	896	1526
111	902	1515
112	909	1505
113	915	1493
114	921	1481
115	926	1469
116	932	1458
117	938	1447
118	944	1436
119	950	1426
120	956	1415
121	963	1405
122	969	1395
123	975	1385
124	982	1374
125	988	1364
126	994	1354
127	1001	1345
128	1007	1336
129	1014	1326
130	1021	1317
131	1027	1307
132	1034	1299
133	1041	1289
134	1048	1281
135	1054	1272
136	1061	1262
137	1068	1254
138	1074	1245
139	1082	1236
140	1089	1228
141	1096	1219
142	1103	1211
143	1110	1203
144	1117	1194
145	1123	1185
146	1129	1175
147	1136	1167
148	1142	1158
149	1149	1149
150	1155	1139
151	1161	1130
152	1167	1121
153	1173	1112
154	1179	1103
155	1185	1094
156	1191	1085
157	1198	1077
158	1204	1068
159	1211	1059
160	1217	1051
161	1224	1043
162	1230	1034
163	1237	1026
164	1244	1017
165	1250	1009
166	1257	1001
167	1264	993
168	1271	985
169	1277	977
170	1284	969
171	1292	961
172	1298	953
173	1305	945
174	1312	937
175	1320	930
176	1327	922
177	1334	914
178	1341	906
179	1348	898
180	1355	891
181	1362	883
182	1368	874
183	1374	866
184	1381	858
185	1387	850
186	1393	842
187	1400	834
188	1407	826
189	1413	818
190	1420	810
191	1427	802
192	1433	794
193	1439	786
194	1445	778
195	1451	770
196	1457	762
197	1463	754
198	1470	746
199	1476	738
200	1484	731
201	1491	723
202	1498	716
203	1505	708
204	1512	700
205	1519	693
206	1526	685
207	1533	678
208	1540	670
209	1547	663
210	1554	655
211	1561	648
212	1569	640
213	1576	633
214	1583	625
215	1590	618
216	1597	611
217	1604	603
218	1612	596
219	1619	588
220	1626	581
221	1632	573
222	1639	566
223	1646	558
224	1653	551
225	1660	543
226	1667	536
227	1674	528
228	1681	521
229	1687	513
230	1693	505
231	1700	498
232	1706	490
233	1713	483
234	1719	475
235	1726	468
236	1733	460
237	1739	453
238	1746	445
239	1753	438
240	1760	430
241	1766	423
242	1773	416
243	1780	408
244	1787	401
245	1794	393
246	1800	386
247	1807	379
248	1816	372
249	1823	364
250	1829	357
251	1835	349
252	1842	342
253	1848	334
254	1855	327
255	1861	319
256	1867	312
257	1874	305
258	1880	297
259	1886	290
260	1893	282
261	1899	275
262	1905	268
263	1913	260
264	1919	253
265	1925	246
266	1931	238
267	1937	231
268	1943	223
269	1949	216
270	1955	209
271	1961	201
272	1968	194
273	1974	187
274	1979	179
275	1985	172
276	1991	165
277	1998	158
278	2004	150
279	2011	143
280	2018	136
281	2025	129
282	2031	122
283	2044	115
284	2058	108
285	2069	101
286	2079	94
287	2086	86
288	2093	79
289	2100	72
290	2107	65
291	2114	57
292	2121	50
293	2128	43
294	2135	36
295	2142	28
296	2149	21
297	2155	14
298	2161	7
299	2168	0
